"BenchmarkName","DotNetVersion","Method","Mean","Error","StdDev","Median","Ratio","Gen0","Gen1","Gen2","Allocated","AllocRatio","Count","Iterations","CodeSize"
"AnyNonNullVsJustEnumerating","8.0.2","JustEnumerate","4.618 ns","0.1239 ns","0.1568 ns","4.582 ns","1.00","-",,,"-","NA","10",,
"AnyNonNullVsJustEnumerating","8.0.2","AnyCheckThenEnumerate","64.347 ns","4.9993 ns","14.7407 ns","57.995 ns","12.55","0.0074",,,"32 B","NA","10",,
"AnyNonNullVsJustEnumerating","8.0.2","JustEnumerate","35,547.062 ns","707.7673 ns","1,925.5332 ns","34,892.603 ns","1.00","-",,,"-","NA","100000",,
"AnyNonNullVsJustEnumerating","8.0.2","AnyCheckThenEnumerate","368,679.915 ns","4,162.2757 ns","3,893.3953 ns","368,073.730 ns","9.99","-",,,"32 B","NA","100000",,
"ArrayBoundsChecks","8.0.1","ForLoopCountField","7.574 μs","0.0255 μs","0.0239 μs",,,,,,,,"10000",,"78 B"
"ArrayBoundsChecks","8.0.1","ForLoopCountLocalVariable","4.470 μs","0.0450 μs","0.0399 μs",,,,,,,,"10000",,"59 B"
"ArrayBoundsChecks","8.0.1","ForEachLoopCountField","4.482 μs","0.0378 μs","0.0354 μs",,,,,,,,"10000",,"59 B"
"ArrayBoundsChecks","8.0.1","ForEachLoopCountLocalVariable","4.368 μs","0.0179 μs","0.0149 μs",,,,,,,,"10000",,"59 B"
"ArrayBoundsChecks","8.0.1","Lulz1","5.481 μs","0.0331 μs","0.0310 μs",,,,,,,,"10000",,"64 B"
"ArrayBoundsChecks","8.0.1","Lulz2","5.588 μs","0.0346 μs","0.0307 μs",,,,,,,,"10000",,"72 B"
"ArrayBoundsChecks","8.0.1","Lulz3","5.450 μs","0.0196 μs","0.0153 μs",,,,,,,,"10000",,"62 B"
"ArrayForVsForeach","8.0.5","ForLoopCountFieldAccess","5.478 ns","0.0332 ns","0.0310 ns",,,,,,,,"10",,"78 B"
"ArrayForVsForeach","8.0.5","ForLoopCountLocalAccess","2.999 ns","0.0168 ns","0.0157 ns",,,,,,,,"10",,"59 B"
"ArrayForVsForeach","8.0.5","ForEachLoopCount","3.004 ns","0.0135 ns","0.0112 ns",,,,,,,,"10",,"59 B"
"ArrayForVsForeach","8.0.5","ForLoopCountFieldAccess","54.543 ns","0.4449 ns","0.4162 ns",,,,,,,,"100",,"78 B"
"ArrayForVsForeach","8.0.5","ForLoopCountLocalAccess","32.095 ns","0.6275 ns","1.0133 ns",,,,,,,,"100",,"59 B"
"ArrayForVsForeach","8.0.5","ForEachLoopCount","31.939 ns","0.6707 ns","0.9403 ns",,,,,,,,"100",,"59 B"
"ArrayForVsForeach","8.0.5","ForLoopCountFieldAccess","51,594.918 ns","386.5606 ns","361.5890 ns",,,,,,,,"100000",,"78 B"
"ArrayForVsForeach","8.0.5","ForLoopCountLocalAccess","33,187.575 ns","340.7506 ns","318.7383 ns",,,,,,,,"100000",,"59 B"
"ArrayForVsForeach","8.0.5","ForEachLoopCount","32,964.418 ns","272.0465 ns","254.4724 ns",,,,,,,,"100000",,"59 B"
"ArrayInitialization","8.0.1","InitJaggedRandomValues","41.775 μs","0.8302 μs","2.0520 μs",,,,,,,,,,
"ArrayInitialization","8.0.1","InitMultidimensionalRandomValues","48.587 μs","0.6195 μs","0.7134 μs",,,,,,,,,,
"ArrayInitialization","8.0.1","InitJaggedFixedValue","8.415 μs","0.1683 μs","0.2467 μs",,,,,,,,,,
"ArrayInitialization","8.0.1","InitMultidimensionalFixedValue","26.939 μs","0.5388 μs","1.5371 μs",,,,,,,,,,
"ArrayInitialization","8.0.1","InitJaggedRandomValues","8,583.438 μs","40.8345 μs","31.8809 μs",,,,,,,,,,
"ArrayInitialization","8.0.1","InitMultidimensionalRandomValues","9,302.991 μs","86.9615 μs","77.0891 μs",,,,,,,,,,
"ArrayInitialization","8.0.1","InitJaggedFixedValue","775.637 μs","5.3668 μs","5.0201 μs",,,,,,,,,,
"ArrayInitialization","8.0.1","InitMultidimensionalFixedValue","2,589.272 μs","4.9434 μs","4.1280 μs",,,,,,,,,,
"ArrayListVsList","8.0.1","CreateArrayListOfInt","5,996.43 μs","119.211 μs","266.633 μs",,"95.13","359.3750","351.5625","210.9375","4497597 B","NA","100000",,
"ArrayListVsList","8.0.1","CreateListOfInt","279.88 μs","5.503 μs","6.960 μs",,"4.47","56.1523","48.3398","48.3398","1049268 B","NA","100000",,
"ArrayListVsList","8.0.1","CreateArrayListOfObject","7,419.57 μs","147.026 μs","191.175 μs",,"118.82","406.2500","398.4375","210.9375","5288061 B","NA","100000",,
"ArrayListVsList","8.0.1","CreateListOfObject","7,528.05 μs","149.499 μs","199.577 μs",,"121.37","406.2500","398.4375","210.9375","5288062 B","NA","100000",,
"ArrayListVsList","8.0.1","IterateArrayListOfInt","284.05 μs","0.548 μs","0.458 μs",,"4.57","-","-","-","48 B","NA","100000",,
"ArrayListVsList","8.0.1","IterateListOfInt","62.20 μs","0.148 μs","0.131 μs",,"1.00","-","-","-","-","NA","100000",,
"ArrayListVsList","8.0.1","IterateArrayListOfObject","261.55 μs","0.744 μs","0.660 μs",,"4.21","-","-","-","48 B","NA","100000",,
"ArrayListVsList","8.0.1","IterateListOfObject","104.49 μs","0.335 μs","0.297 μs",,"1.68","-","-","-","-","NA","100000",,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithStackAlloc","1.852 μs","0.0034 μs","0.0032 μs",,,"0.0267","-",,"448 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithArrayPool","1.950 μs","0.0115 μs","0.0108 μs",,,"0.0267","-",,"448 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithNewArray","1.880 μs","0.0040 μs","0.0032 μs",,,"0.0362","-",,"608 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithStackAlloc","47.187 μs","0.0850 μs","0.0795 μs",,,"0.6714","-",,"11792 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithArrayPool","48.855 μs","0.0675 μs","0.0598 μs",,,"0.6714","-",,"11792 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithNewArray","47.445 μs","0.0680 μs","0.0531 μs",,,"0.9155","-",,"15792 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithStackAlloc","502.383 μs","1.5862 μs","1.4837 μs",,,"5.8594","-",,"111304 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithArrayPool","519.085 μs","0.8720 μs","0.7730 μs",,,"5.8594","-",,"111304 B",,,,
"ArrayPoolVsStackAlloc","8.0.1","TestBuildingGuidsWithNewArray","495.620 μs","1.3672 μs","1.2788 μs",,,"8.7891","0.9766",,"152264 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithReverse","27.38 ns","0.205 ns","0.171 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftWithCopy","59.61 ns","0.617 ns","0.547 ns",,,"0.0048",,,"80 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithJuggling","25.89 ns","0.573 ns","1.158 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftArrayCopyAaron","17.22 ns","0.288 ns","0.269 ns",,,"0.0048",,,"80 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithReverse","27.13 ns","0.095 ns","0.084 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftWithCopy","59.56 ns","0.690 ns","0.646 ns",,,"0.0048",,,"80 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithJuggling","28.51 ns","0.173 ns","0.154 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftArrayCopyAaron","17.22 ns","0.201 ns","0.188 ns",,,"0.0048",,,"80 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithReverse","26.60 ns","0.102 ns","0.091 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftWithCopy","59.43 ns","0.690 ns","0.612 ns",,,"0.0048",,,"80 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithJuggling","38.70 ns","0.171 ns","0.152 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftArrayCopyAaron","16.49 ns","0.123 ns","0.115 ns",,,"0.0048",,,"80 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithReverse","30.08 ns","0.271 ns","0.253 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftWithCopy","59.49 ns","0.306 ns","0.271 ns",,,"0.0048",,,"80 B",,,,
"ArrayRotate","8.0.1","RotateLeftWithJuggling","28.08 ns","0.105 ns","0.099 ns",,,"-",,,"-",,,,
"ArrayRotate","8.0.1","RotateLeftArrayCopyAaron","15.96 ns","0.203 ns","0.190 ns",,,"0.0048",,,"80 B",,,,
"ArraySum","9.0.2","SumJagged","1,385.51 μs","26.812 μs","30.876 μs","1,389.64 μs","0.62",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensional","2,040.09 μs","84.530 μs","249.238 μs","2,111.74 μs","1.00",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensionalReversedIndexes","2,070.78 μs","147.614 μs","435.244 μs","1,944.07 μs","1.02",,,,,,,,
"ArraySum","9.0.2","SumJaggedReversedIndexes","1,394.45 μs","35.457 μs","104.545 μs","1,398.08 μs","0.69",,,,,,,,
"ArraySum","9.0.2","SumJaggedOptimizedKozi","417.68 μs","8.348 μs","22.570 μs","413.38 μs","0.21",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensionalLocalVariableGoose","948.79 μs","21.467 μs","61.247 μs","938.35 μs","0.47",,,,,,,,
"ArraySum","9.0.2","SumJaggedLocalVariableGoose","475.71 μs","11.496 μs","33.169 μs","463.60 μs","0.24",,,,,,,,
"ArraySum","9.0.2","SumWithReadOnlySpanKozi","419.49 μs","11.317 μs","33.368 μs","407.85 μs","0.21",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensionalAkari","404.99 μs","14.135 μs","41.008 μs","390.40 μs","0.20",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensionalVectorAkari","124.33 μs","2.404 μs","2.672 μs","125.29 μs","0.06",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensionalVector256Akari","78.75 μs","1.278 μs","1.196 μs","78.72 μs","0.04",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensionalVector256AkariNoFixed","80.18 μs","1.527 μs","2.377 μs","79.61 μs","0.04",,,,,,,,
"ArraySum","9.0.2","SumMultiDimensionalVector256AkariNoFixedWithIntermediateShorts","32.47 μs","0.744 μs","2.121 μs","31.67 μs","0.02",,,,,,,,
"ArraySum","9.0.2","SumHandrolledAkseli","617.21 μs","13.938 μs","40.216 μs","603.56 μs","0.31",,,,,,,,
"ArraySum","9.0.2","SumHandrolledAkseliJuly2023","21.67 μs","0.406 μs","1.146 μs","21.33 μs","0.01",,,,,,,,
"ArrayVsDictionaryLookup","8.0.1","LookupUsingArray","18.15 μs","0.049 μs","0.046 μs",,,,,,"-",,,"10",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingDictionary","19.53 μs","0.041 μs","0.036 μs",,,,,,"-",,,"10",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingArray","181.09 μs","0.093 μs","0.087 μs",,,,,,"-",,,"100",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingDictionary","195.27 μs","0.354 μs","0.331 μs",,,,,,"-",,,"100",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingArray","1,810.53 μs","1.597 μs","1.416 μs",,,,,,"-",,,"1000",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingDictionary","1,949.98 μs","1.752 μs","1.553 μs",,,,,,"-",,,"1000",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingArray","18,104.29 μs","10.782 μs","9.004 μs",,,,,,"-",,,"10000",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingDictionary","19,522.37 μs","19.306 μs","18.059 μs",,,,,,"-",,,"10000",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingArray","181,054.62 μs","171.718 μs","160.625 μs",,,,,,"-",,,"100000",
"ArrayVsDictionaryLookup","8.0.1","LookupUsingDictionary","195,161.50 μs","285.076 μs","252.712 μs",,,,,,"-",,,"100000",
"AsCastVsDirectCast","8.0.1","AsCast","108.3 ns","0.64 ns","0.60 ns",,"1.00",,,,,,"10",,
"AsCastVsDirectCast","8.0.1","DirectCast","101.6 ns","1.11 ns","1.04 ns",,"0.94",,,,,,"10",,
"AsCastVsDirectCast","8.0.1","AsCast","10,958.0 ns","122.15 ns","108.28 ns",,"1.00",,,,,,"1000",,
"AsCastVsDirectCast","8.0.1","DirectCast","11,022.3 ns","51.51 ns","48.18 ns",,"1.01",,,,,,"1000",,
"AsCastVsDirectCast","8.0.1","AsCast","11,182,833.8 ns","51,760.20 ns","43,222.11 ns",,"1.00",,,,,,"1000000",,
"AsCastVsDirectCast","8.0.1","DirectCast","10,284,217.1 ns","39,505.46 ns","36,953.43 ns",,"0.92",,,,,,"1000000",,
"AsParallelIteration","6.0.9","NoParallel","12.574 ms","0.3127 ms","0.8921 ms","12.468 ms","2.55",,,,"3 MB",,,,
"AsParallelIteration","6.0.9","ParallelA","5.490 ms","0.1798 ms","0.5301 ms","5.284 ms","1.11",,,,"3 MB",,,,
"AsParallelIteration","6.0.9","ParallelB","12.891 ms","0.2570 ms","0.7289 ms","12.674 ms","2.62",,,,"3 MB",,,,
"AsParallelIteration","6.0.9","ParallelC","4.945 ms","0.1028 ms","0.3031 ms","4.907 ms","1.00",,,,"3 MB",,,,
"AsParallelIteration","6.0.9","NoParallel","15.257 ms","0.3622 ms","1.0623 ms","15.036 ms","1.74",,,,"3 MB",,,,
"AsParallelIteration","6.0.9","ParallelA","5.445 ms","0.1077 ms","0.2075 ms","5.413 ms","0.48",,,,"4 MB",,,,
"AsParallelIteration","6.0.9","ParallelB","15.949 ms","0.4845 ms","1.4057 ms","15.928 ms","1.77",,,,"3 MB",,,,
"AsParallelIteration","6.0.9","ParallelC","12.503 ms","2.3624 ms","6.9657 ms","12.588 ms","1.00",,,,"4 MB",,,,
"AsParallelIteration","6.0.9","NoParallel","19.215 ms","0.4219 ms","1.2037 ms","19.221 ms","1.13",,,,"4 MB",,,,
"AsParallelIteration","6.0.9","ParallelA","7.107 ms","0.1900 ms","0.5543 ms","7.046 ms","0.41",,,,"4 MB",,,,
"AsParallelIteration","6.0.9","ParallelB","25.943 ms","1.6668 ms","4.9147 ms","24.782 ms","1.57",,,,"4 MB",,,,
"AsParallelIteration","6.0.9","ParallelC","21.960 ms","3.2402 ms","9.4518 ms","23.019 ms","1.00",,,,"5 MB",,,,
"AspNetRouteLookups","8.0.7","MatchUrlsUsingTemplateMatcher","52.50 μs","1.621 μs","4.493 μs",,"2.40","0.4272",,,"1920 B","48.00","100",,
"AspNetRouteLookups","8.0.7","MatchUrlsUsingRegex","23.61 μs","0.404 μs","0.449 μs",,"1.00","-",,,"40 B","1.00","100",,
"AsyncAwaitVsTaskReturn","9.0.6","AsyncAwaitWithAwaitChain","129.24 μs","2.549 μs","5.958 μs",,"2.09","6.8359",,,"29.84 KB","3.14","100",,
"AsyncAwaitVsTaskReturn","9.0.6","AsyncAwaitWithReturnChain","61.98 μs","1.215 μs","2.399 μs",,"1.00","2.1973",,,"9.49 KB","1.00","100",,
"AsyncReadTest","8.0.1","NonAsync","3,250.9 ns","64.01 ns","144.48 ns","3,243.6 ns",,"1.9035",,,"8224 B",,,,
"AsyncReadTest","8.0.1","NonAsyncWithArrayPool","5,223.9 ns","109.97 ns","315.52 ns","5,191.5 ns",,"-",,,"-",,,,
"AsyncReadTest","8.0.1","NonAsyncWithFixedBuffer","1,963.7 ns","32.48 ns","28.80 ns","1,969.0 ns",,"-",,,"-",,,,
"AsyncReadTest","8.0.1","Async","10,117.8 ns","205.39 ns","569.13 ns","9,983.2 ns",,"6.1951",,,"26776 B",,,,
"AsyncReadTest","8.0.1","AsyncWithAwait","10,235.4 ns","196.67 ns","248.72 ns","10,243.7 ns",,"6.2103",,,"26808 B",,,,
"AsyncReadTest","8.0.1","RawBytesAndSpan","598.5 ns","9.58 ns","8.96 ns","599.6 ns",,"-",,,"-",,,,
"AsyncReadTest","8.0.1","NonAsync","3,221,134.3 ns","58,806.44 ns","84,338.44 ns","3,203,907.6 ns",,"1941.4063",,,"8388664 B",,,,
"AsyncReadTest","8.0.1","NonAsyncWithArrayPool","4,992,204.6 ns","98,349.20 ns","113,259.08 ns","4,979,602.7 ns",,"-",,,"51 B",,,,
"AsyncReadTest","8.0.1","NonAsyncWithFixedBuffer","1,999,823.3 ns","33,357.66 ns","31,202.77 ns","1,986,736.3 ns",,"-",,,"2 B",,,,
"AsyncReadTest","8.0.1","Async","11,280,753.7 ns","223,441.33 ns","531,031.96 ns","11,369,045.3 ns",,"6312.5000",,,"27263224 B",,,,
"AsyncReadTest","8.0.1","AsyncWithAwait","10,821,332.3 ns","333,981.46 ns","919,881.95 ns","10,666,325.0 ns",,"6312.5000",,,"27263166 B",,,,
