"BenchmarkName","DotNetVersion","Method","Mean","Error","StdDev","Median","Ratio","Gen0","Gen1","Gen2","Allocated","AllocRatio","Count","Iterations","CodeSize"
"AnyNonNullVsJustEnumerating","10.0.0","**JustEnumerate**","**5.584 ns**","**0.3374 ns**","**0.9948 ns**",,"**1.03**",,,,"**-**","**NA**","**10**",,
"AnyNonNullVsJustEnumerating","10.0.0","AnyCheckThenEnumerate","12.740 ns","0.3878 ns","1.1435 ns",,"2.36",,,,"-","NA","10",,
"AnyNonNullVsJustEnumerating","10.0.0","**JustEnumerate**","**32,226.422 ns**","**640.5201 ns**","**938.8662 ns**",,"**1.00**",,,,"**-**","**NA**","**100000**",,
"AnyNonNullVsJustEnumerating","10.0.0","AnyCheckThenEnumerate","64,831.953 ns","1,245.4710 ns","1,482.6447 ns",,"2.01",,,,"-","NA","100000",,
"ArrayBoundsChecks","10.0.0","ForLoopCountField","7.501 μs","0.1302 μs","0.1598 μs",,,,,,,,"10000",,"70 B"
"ArrayBoundsChecks","10.0.0","ForLoopCountLocalVariable","5.262 μs","0.0545 μs","0.0510 μs",,,,,,,,"10000",,"54 B"
"ArrayBoundsChecks","10.0.0","ForEachLoopCountField","5.305 μs","0.0967 μs","0.0905 μs",,,,,,,,"10000",,"54 B"
"ArrayBoundsChecks","10.0.0","ForEachLoopCountLocalVariable","5.247 μs","0.0478 μs","0.0447 μs",,,,,,,,"10000",,"54 B"
"ArrayBoundsChecks","10.0.0","Lulz1","5.475 μs","0.0497 μs","0.0465 μs",,,,,,,,"10000",,"60 B"
"ArrayBoundsChecks","10.0.0","Lulz2","5.516 μs","0.0544 μs","0.0482 μs",,,,,,,,"10000",,"68 B"
"ArrayBoundsChecks","10.0.0","Lulz3","5.563 μs","0.0487 μs","0.0431 μs",,,,,,,,"10000",,"58 B"
"ArrayForVsForeach","10.0.0","**ForLoopCountFieldAccess**","**6.921 ns**","**0.1651 ns**","**0.1696 ns**","**6.936 ns**",,,,,,,"**10**",,"**75 B**"
"ArrayForVsForeach","10.0.0","ForLoopCountLocalAccess","4.699 ns","0.0391 ns","0.0366 ns","4.700 ns",,,,,,,"10",,"55 B"
"ArrayForVsForeach","10.0.0","ForEachLoopCount","4.692 ns","0.0308 ns","0.0257 ns","4.699 ns",,,,,,,"10",,"55 B"
"ArrayForVsForeach","10.0.0","**ForLoopCountFieldAccess**","**78.307 ns**","**0.5644 ns**","**0.5280 ns**","**78.345 ns**",,,,,,,"**100**",,"**70 B**"
"ArrayForVsForeach","10.0.0","ForLoopCountLocalAccess","52.790 ns","0.6621 ns","0.6194 ns","52.788 ns",,,,,,,"100",,"55 B"
"ArrayForVsForeach","10.0.0","ForEachLoopCount","52.024 ns","0.7008 ns","0.6555 ns","52.036 ns",,,,,,,"100",,"54 B"
"ArrayForVsForeach","10.0.0","**ForLoopCountFieldAccess**","**73,449.842 ns**","**962.6290 ns**","**803.8388 ns**","**73,308.154 ns**",,,,,,,"**100000**",,"**70 B**"
"ArrayForVsForeach","10.0.0","ForLoopCountLocalAccess","62,531.646 ns","1,305.2215 ns","3,848.4753 ns","63,632.367 ns",,,,,,,"100000",,"54 B"
"ArrayForVsForeach","10.0.0","ForEachLoopCount","62,419.638 ns","1,243.2112 ns","3,424.1649 ns","63,532.016 ns",,,,,,,"100000",,"54 B"
"ArrayInitialization","10.0.0","**InitJaggedRandomValues**","**51.83 μs**","**0.984 μs**","**2.118 μs**",,,,,,,,,,
"ArrayInitialization","10.0.0","InitMultidimensionalRandomValues","58.36 μs","1.160 μs","2.910 μs",,,,,,,,,,
"ArrayInitialization","10.0.0","InitJaggedFixedValue","45.01 μs","0.642 μs","0.600 μs",,,,,,,,,,
"ArrayInitialization","10.0.0","InitMultidimensionalFixedValue","21.08 μs","0.143 μs","0.127 μs",,,,,,,,,,
"ArrayInitialization","10.0.0","**InitJaggedRandomValues**","**8,615.43 μs**","**50.792 μs**","**45.025 μs**",,,,,,,,,,
"ArrayInitialization","10.0.0","InitMultidimensionalRandomValues","9,179.39 μs","36.193 μs","32.084 μs",,,,,,,,,,
"ArrayInitialization","10.0.0","InitJaggedFixedValue","2,293.24 μs","51.074 μs","150.593 μs",,,,,,,,,,
"ArrayInitialization","10.0.0","InitMultidimensionalFixedValue","2,619.70 μs","14.330 μs","13.404 μs",,,,,,,,,,
"ArrayListVsList","10.0.0","CreateArrayListOfInt","5,432.35 μs","104.866 μs","107.689 μs",,"86.65","359.3750","351.5625","210.9375","4497596 B","NA","100000",,
"ArrayListVsList","10.0.0","CreateListOfInt","262.56 μs","5.222 μs","5.128 μs",,"4.19","56.6406","48.8281","48.8281","1049262 B","NA","100000",,
"ArrayListVsList","10.0.0","CreateArrayListOfObject","6,613.46 μs","93.620 μs","87.572 μs",,"105.49","406.2500","398.4375","210.9375","5287998 B","NA","100000",,
"ArrayListVsList","10.0.0","CreateListOfObject","6,672.49 μs","127.647 μs","174.725 μs",,"106.43","406.2500","398.4375","210.9375","5287999 B","NA","100000",,
"ArrayListVsList","10.0.0","IterateArrayListOfInt","256.24 μs","1.822 μs","1.704 μs",,"4.09","-","-","-","48 B","NA","100000",,
"ArrayListVsList","10.0.0","IterateListOfInt","62.70 μs","0.387 μs","0.362 μs",,"1.00","-","-","-","-","NA","100000",,
"ArrayListVsList","10.0.0","IterateArrayListOfObject","255.68 μs","1.980 μs","1.756 μs",,"4.08","-","-","-","48 B","NA","100000",,
"ArrayListVsList","10.0.0","IterateListOfObject","96.76 μs","0.371 μs","0.347 μs",,"1.54","-","-","-","-","NA","100000",,
"ArrayPoolVsStackAlloc","10.0.0","**TestBuildingGuidsWithStackAlloc**","**1.776 μs**","**0.0327 μs**","**0.0290 μs**",,,"**0.0267**","**-**",,"**448 B**",,,,
"ArrayPoolVsStackAlloc","10.0.0","TestBuildingGuidsWithArrayPool","1.887 μs","0.0189 μs","0.0168 μs",,,"0.0267","-",,"448 B",,,,
"ArrayPoolVsStackAlloc","10.0.0","TestBuildingGuidsWithNewArray","1.775 μs","0.0083 μs","0.0073 μs",,,"0.0362","-",,"608 B",,,,
