"BenchmarkName","Method","BaselineVersion","NewVersion","BaselineTime","NewTime","TimeChangePercent","TimeIndicator","BaselineMemory","NewMemory","MemoryChangePercent","MemoryIndicator"
"AnyNonNullVsJustEnumerating","JustEnumerate","8.0.2","10.0.0","4.618 ns","5.584 ns","20.91814638371588","✗","-","-",,""
"AnyNonNullVsJustEnumerating","AnyCheckThenEnumerate","8.0.2","10.0.0","64.347 ns","12.740 ns","-80.20109717624753","✓","32 B","-",,""
"AnyNonNullVsJustEnumerating","JustEnumerate","8.0.2","10.0.0","35,547.062 ns","32,226.422 ns","-9.34153151672563","✓","-","-",,""
"AnyNonNullVsJustEnumerating","AnyCheckThenEnumerate","8.0.2","10.0.0","368,679.915 ns","64,831.953 ns","-82.4151112218847","✓","32 B","-",,""
"ArrayBoundsChecks","ForLoopCountField","8.0.1","10.0.0","7.574 μs","7.501 μs","-0.9638236070768419","≈",,,,""
"ArrayBoundsChecks","ForLoopCountLocalVariable","8.0.1","10.0.0","4.470 μs","5.262 μs","17.71812080536913","✗",,,,""
"ArrayBoundsChecks","ForEachLoopCountField","8.0.1","10.0.0","4.482 μs","5.305 μs","18.362338241856314","✗",,,,""
"ArrayBoundsChecks","ForEachLoopCountLocalVariable","8.0.1","10.0.0","4.368 μs","5.247 μs","20.123626373626376","✗",,,,""
"ArrayBoundsChecks","Lulz1","8.0.1","10.0.0","5.481 μs","5.475 μs","-0.10946907498631638","≈",,,,""
"ArrayBoundsChecks","Lulz2","8.0.1","10.0.0","5.588 μs","5.516 μs","-1.288475304223336","≈",,,,""
"ArrayBoundsChecks","Lulz3","8.0.1","10.0.0","5.450 μs","5.563 μs","2.073394495412844","≈",,,,""
"ArrayForVsForeach","ForLoopCountFieldAccess","8.0.5","10.0.0","5.478 ns","6.921 ns","26.341730558598037","✗",,,,""
"ArrayForVsForeach","ForLoopCountLocalAccess","8.0.5","10.0.0","2.999 ns","4.699 ns","56.685561853951306","✗",,,,""
"ArrayForVsForeach","ForEachLoopCount","8.0.5","10.0.0","3.004 ns","4.692 ns","56.191744340878834","✗",,,,""
"ArrayForVsForeach","ForLoopCountFieldAccess","8.0.5","10.0.0","54.543 ns","78.307 ns","43.569293951561164","✗",,,,""
"ArrayForVsForeach","ForLoopCountLocalAccess","8.0.5","10.0.0","32.095 ns","52.790 ns","64.48044866801683","✗",,,,""
"ArrayForVsForeach","ForEachLoopCount","8.0.5","10.0.0","31.939 ns","52.024 ns","62.885500485300106","✗",,,,""
"ArrayForVsForeach","ForLoopCountFieldAccess","8.0.5","10.0.0","51,594.918 ns","73,449.842 ns","42.358675712983995","✗",,,,""
"ArrayForVsForeach","ForLoopCountLocalAccess","8.0.5","10.0.0","33,187.575 ns","62,531.646 ns","88.41884651108136","✗",,,,""
"ArrayForVsForeach","ForEachLoopCount","8.0.5","10.0.0","32,964.418 ns","62,419.638 ns","89.3545883321829","✗",,,,""
"ArrayListVsList","CreateArrayListOfInt","8.0.1","10.0.0","5,996.43 μs","5,432.35 μs","-9.406930456955221","✓","4497597 B","4497596 B","-2.223409522907455E-05","≈"
"ArrayListVsList","CreateListOfInt","8.0.1","10.0.0","279.88 μs","262.56 μs","-6.1883664427611835","✓","1049268 B","1049262 B","-0.0005718272166882055","≈"
"ArrayListVsList","CreateArrayListOfObject","8.0.1","10.0.0","7,419.57 μs","6,613.46 μs","-10.864645794837168","✓","5288061 B","5287998 B","-0.0011913629589371227","≈"
"ArrayListVsList","CreateListOfObject","8.0.1","10.0.0","7,528.05 μs","6,672.49 μs","-11.364961709871746","✓","5288062 B","5287999 B","-0.001191362733644197","≈"
"ArrayListVsList","IterateArrayListOfInt","8.0.1","10.0.0","284.05 μs","256.24 μs","-9.790529836296427","✓","48 B","48 B",,""
"ArrayListVsList","IterateListOfInt","8.0.1","10.0.0","62.20 μs","62.70 μs","0.8038585209003215","≈","-","-",,""
"ArrayListVsList","IterateArrayListOfObject","8.0.1","10.0.0","261.55 μs","255.68 μs","-2.2443127509080485","≈","48 B","48 B",,""
"ArrayListVsList","IterateListOfObject","8.0.1","10.0.0","104.49 μs","96.76 μs","-7.397837113599387","✓","-","-",,""
